wave	flux	eflux
3.29116735e+03	4.42271900e-14	4.42271900e-15
3.29177830e+03	4.40804400e-14	4.40804400e-15
3.29238925e+03	4.60457800e-14	4.60457800e-15
3.29300020e+03	4.41291500e-14	4.41291500e-15
3.29361115e+03	4.39195500e-14	4.39195500e-15
3.29422210e+03	4.46285200e-14	4.46285200e-15
3.29483305e+03	4.46577900e-14	4.46577900e-15
3.29544400e+03	4.75675100e-14	4.75675100e-15
3.29605495e+03	4.46619700e-14	4.46619700e-15
3.29666590e+03	4.23848700e-14	4.23848700e-15
3.29727685e+03	4.30659500e-14	4.30659500e-15
3.29788781e+03	4.38095200e-14	4.38095200e-15
3.29849876e+03	4.43118900e-14	4.43118900e-15
3.29910971e+03	4.44372700e-14	4.44372700e-15
3.29972066e+03	4.38391800e-14	4.38391800e-15
3.30033161e+03	4.33086000e-14	4.33086000e-15
3.30094256e+03	4.42591000e-14	4.42591000e-15
3.30155351e+03	4.41333800e-14	4.41333800e-15
3.30216446e+03	4.49445100e-14	4.49445100e-15
3.30277541e+03	4.26942400e-14	4.26942400e-15
3.30338636e+03	4.32135600e-14	4.32135600e-15
3.30399731e+03	4.46087500e-14	4.46087500e-15
3.30460826e+03	4.22185400e-14	4.22185400e-15
3.30521922e+03	4.54946100e-14	4.54946100e-15
3.30583017e+03	4.33269700e-14	4.33269700e-15
3.30644112e+03	4.30614000e-14	4.30614000e-15
3.30705207e+03	4.21196200e-14	4.21196200e-15
3.30766302e+03	4.29409600e-14	4.29409600e-15
3.30827397e+03	4.33250600e-14	4.33250600e-15
3.30888492e+03	4.28627100e-14	4.28627100e-15
3.30949587e+03	4.20606500e-14	4.20606500e-15
3.31010682e+03	4.25657700e-14	4.25657700e-15
3.31071777e+03	4.39488000e-14	4.39488000e-15
3.31132872e+03	4.30353200e-14	4.30353200e-15
3.31193967e+03	4.45755000e-14	4.45755000e-15
3.31255063e+03	4.45914300e-14	4.45914300e-15
3.31316158e+03	4.31568100e-14	4.31568100e-15
3.31377253e+03	4.08695900e-14	4.08695900e-15
3.31438348e+03	4.17896500e-14	4.17896500e-15
3.31499443e+03	4.39677900e-14	4.39677900e-15
3.31560538e+03	4.42912700e-14	4.42912700e-15
3.31621633e+03	4.28302900e-14	4.28302900e-15
3.31682728e+03	4.21330300e-14	4.21330300e-15
