wave	flux	eflux
3.47992129e+03	1.29274400e-15	1.29274400e-16
3.48052224e+03	1.29818100e-15	1.29818100e-16
3.48112318e+03	1.63389800e-15	1.63389800e-16
3.48172413e+03	1.56890900e-15	1.56890900e-16
3.48232508e+03	1.41988800e-15	1.41988800e-16
3.48292603e+03	1.14076500e-15	1.14076500e-16
3.48352697e+03	1.02799300e-15	1.02799300e-16
3.48412792e+03	1.19471100e-15	1.19471100e-16
3.48472887e+03	1.34191500e-15	1.34191500e-16
3.48532981e+03	1.61880800e-15	1.61880800e-16
3.48593076e+03	1.17435600e-15	1.17435600e-16
3.48653171e+03	1.46699000e-15	1.46699000e-16
3.48713265e+03	1.55555000e-15	1.55555000e-16
3.48773360e+03	1.19655000e-15	1.19655000e-16
3.48833455e+03	8.98319000e-16	8.98319000e-17
3.48893550e+03	1.12124200e-15	1.12124200e-16
3.48953644e+03	1.21533700e-15	1.21533700e-16
3.49013739e+03	1.21856600e-15	1.21856600e-16
3.49073834e+03	1.29217600e-15	1.29217600e-16
3.49133928e+03	1.28003100e-15	1.28003100e-16
3.49194023e+03	1.31514000e-15	1.31514000e-16
3.49254118e+03	1.38591700e-15	1.38591700e-16
3.49314213e+03	1.20639900e-15	1.20639900e-16
3.49374307e+03	1.35969200e-15	1.35969200e-16
3.49434402e+03	1.40408900e-15	1.40408900e-16
3.49494497e+03	9.98144800e-16	9.98144800e-17
3.49554591e+03	1.34730600e-15	1.34730600e-16
3.49614686e+03	1.16735500e-15	1.16735500e-16
3.49674781e+03	1.32398800e-15	1.32398800e-16
3.49734876e+03	1.20352500e-15	1.20352500e-16
3.49794970e+03	1.16864300e-15	1.16864300e-16
3.49855065e+03	1.03929200e-15	1.03929200e-16
3.49915160e+03	1.25720300e-15	1.25720300e-16
3.49975254e+03	1.07432300e-15	1.07432300e-16
3.50035349e+03	1.18410700e-15	1.18410700e-16
3.50095444e+03	1.00804900e-15	1.00804900e-16
3.50155538e+03	1.22763500e-15	1.22763500e-16
3.50215633e+03	1.38466600e-15	1.38466600e-16
3.50275728e+03	1.07446500e-15	1.07446500e-16
3.50335823e+03	1.26394100e-15	1.26394100e-16
3.50395917e+03	1.35427200e-15	1.35427200e-16
3.50456012e+03	1.25318000e-15	1.25318000e-16
3.50516107e+03	1.18242900e-15	1.18242900e-16
3.50576201e+03	1.19723600e-15	1.19723600e-16
3.50636296e+03	1.05549400e-15	1.05549400e-16
3.50696391e+03	9.23305000e-16	9.23305000e-17
3.50756486e+03	1.22962800e-15	1.22962800e-16
3.50816580e+03	1.54211700e-15	1.54211700e-16
3.50876675e+03	1.53456100e-15	1.53456100e-16
3.50936770e+03	1.66784200e-15	1.66784200e-16
3.50996864e+03	1.47798200e-15	1.47798200e-16
3.51056959e+03	1.25661500e-15	1.25661500e-16
3.51117054e+03	1.33082100e-15	1.33082100e-16
3.51177149e+03	1.32820500e-15	1.32820500e-16
3.51237243e+03	1.20246200e-15	1.20246200e-16
3.51297338e+03	1.45059000e-15	1.45059000e-16
3.51357433e+03	1.24498400e-15	1.24498400e-16
3.51417527e+03	1.07368100e-15	1.07368100e-16
3.51477622e+03	1.13342900e-15	1.13342900e-16
3.51537717e+03	1.40555300e-15	1.40555300e-16
3.51597811e+03	1.31916800e-15	1.31916800e-16
3.51657906e+03	1.27873200e-15	1.27873200e-16
3.51718001e+03	1.47400900e-15	1.47400900e-16
3.51778096e+03	1.35773700e-15	1.35773700e-16
3.51838190e+03	1.12477300e-15	1.12477300e-16
